BlockID,Col,Row,Response,Replicate,DrugRow,DrugCol,ConcRow,ConcCol,ConcRowUnit,ConcColUnit
1,1,1,7.802637,1,ispinesib,ibrutinib,2500,50,nM,nM
1,2,1,6.831317,1,ispinesib,ibrutinib,2500,12.5,nM,nM
1,3,1,15.089589,1,ispinesib,ibrutinib,2500,3.125,nM,nM
1,4,1,24.503885,1,ispinesib,ibrutinib,2500,0.7812,nM,nM
1,5,1,38.043076,1,ispinesib,ibrutinib,2500,0.1954,nM,nM
1,6,1,45.790634,1,ispinesib,ibrutinib,2500,0,nM,nM
1,1,2,5.933393,1,ispinesib,ibrutinib,625,50,nM,nM
1,2,2,6.551686,1,ispinesib,ibrutinib,625,12.5,nM,nM
1,3,2,14.096026,1,ispinesib,ibrutinib,625,3.125,nM,nM
1,4,2,23.261131,1,ispinesib,ibrutinib,625,0.7812,nM,nM
1,5,2,38.052074,1,ispinesib,ibrutinib,625,0.1954,nM,nM
1,6,2,39.37262,1,ispinesib,ibrutinib,625,0,nM,nM
1,1,3,5.724235,1,ispinesib,ibrutinib,156.25,50,nM,nM
1,2,3,7.612191,1,ispinesib,ibrutinib,156.25,12.5,nM,nM
1,3,3,12.425198,1,ispinesib,ibrutinib,156.25,3.125,nM,nM
1,4,3,25.934008,1,ispinesib,ibrutinib,156.25,0.7812,nM,nM
1,5,3,33.51744,1,ispinesib,ibrutinib,156.25,0.1954,nM,nM
1,6,3,39.23745,1,ispinesib,ibrutinib,156.25,0,nM,nM
1,1,4,6.276571,1,ispinesib,ibrutinib,39.0626,50,nM,nM
1,2,4,7.064885,1,ispinesib,ibrutinib,39.0626,12.5,nM,nM
1,3,4,13.511189,1,ispinesib,ibrutinib,39.0626,3.125,nM,nM
1,4,4,29.103006,1,ispinesib,ibrutinib,39.0626,0.7812,nM,nM
1,5,4,36.871628,1,ispinesib,ibrutinib,39.0626,0.1954,nM,nM
1,6,4,39.754314,1,ispinesib,ibrutinib,39.0626,0,nM,nM
1,1,5,8.948099,1,ispinesib,ibrutinib,9.7656,50,nM,nM
1,2,5,14.99542,1,ispinesib,ibrutinib,9.7656,12.5,nM,nM
1,3,5,11.760282,1,ispinesib,ibrutinib,9.7656,3.125,nM,nM
1,4,5,28.036972,1,ispinesib,ibrutinib,9.7656,0.7812,nM,nM
1,5,5,36.374866,1,ispinesib,ibrutinib,9.7656,0.1954,nM,nM
1,6,5,40.77562,1,ispinesib,ibrutinib,9.7656,0,nM,nM
