NCI60.ID	CELLNAME	Panel	Name
NCI60.BT-549	BR.BT_549	Breast Cancer	BT-549
NCI60.HS-578T	BR.HS578T	Breast Cancer	HS 578T
NCI60.MCF7	BR.MCF7	Breast Cancer	MCF7
NCI60.MDA-MB-468	BR.MDA_MB_468	Breast Cancer	MDA-MB-468
NCI60.MDA-MB-231	BR.MDA_MB_231	Breast Cancer	MDA-MB-231/ATCC
NCI60.T-47D	BR.T47D	Breast Cancer	T-47D
NCI60.SF-268	CNS.SF_268	CNS Cancer	SF-268
NCI60.SF-295	CNS.SF_295	CNS Cancer	SF-295
NCI60.SF-539	CNS.SF_539	CNS Cancer	SF-539
NCI60.SNB-19	CNS.SNB_19	CNS Cancer	SNB-19
NCI60.SNB-75	CNS.SNB_75	CNS Cancer	SNB-75
NCI60.U251	CNS.U251	CNS Cancer	U251
NCI60.COLO205	CO.COLO205	Colon Cancer	COLO 205
NCI60.HCC-2998	CO.HCC_2998	Colon Cancer	HCC-2998
NCI60.HCT-116	CO.HCT_116	Colon Cancer	HCT-116
NCI60.HCT-15	CO.HCT_15	Colon Cancer	HCT-15
NCI60.HT29	CO.HT29	Colon Cancer	HT29
NCI60.KM12	CO.KM12	Colon Cancer	KM12
NCI60.SW-620	CO.SW_620	Colon Cancer	SW-620
NCI60.CCRF-CEM	LE.CCRF_CEM	Leukemia	CCRF-CEM
NCI60.HL-60	LE.HL_60	Leukemia	HL-60(TB)
NCI60.K-562	LE.K_562	Leukemia	K-562
NCI60.MOLT-4	LE.MOLT_4	Leukemia	MOLT-4
NCI60.RPMI-8226	LE.RPMI_8226	Leukemia	RPMI-8226
NCI60.SR	LE.SR	Leukemia	SR
NCI60.LOX-IMVI	ME.LOXIMVI	Melanoma	LOX IMVI
NCI60.M14	ME.M14	Melanoma	M14
NCI60.MALME-3M	ME.MALME_3M	Melanoma	MALME-3M
NCI60.MDA-MB-435	ME.MDA_MB_435	Melanoma	MDA-MB-435
NCI60.MDA-N	ME.MDA_N	Melanoma	MDA-N
NCI60.SK-MEL-2	ME.SK_MEL_2	Melanoma	SK-MEL-2
NCI60.SK-MEL-28	ME.SK_MEL_28	Melanoma	SK-MEL-28
NCI60.SK-MEL-5	ME.SK_MEL_5	Melanoma	SK-MEL-5
NCI60.UACC-257	ME.UACC_257	Melanoma	UACC-257
NCI60.UACC-62	ME.UACC_62	Melanoma	UACC-62
NCI60.A549	LC.A549	Non-Small Cell Lung Cancer	A549/ATCC
NCI60.EKVX	LC.EKVX	Non-Small Cell Lung Cancer	EKVX
NCI60.HOP-62	LC.HOP_62	Non-Small Cell Lung Cancer	HOP-62
NCI60.HOP-92	LC.HOP_92	Non-Small Cell Lung Cancer	HOP-92
NCI60.NCI-H226	LC.NCI_H226	Non-Small Cell Lung Cancer	NCI-H226
NCI60.NCI-H23	LC.NCI_H23	Non-Small Cell Lung Cancer	NCI-H23
NCI60.NCI-H322M	LC.NCI_H322M	Non-Small Cell Lung Cancer	NCI-H322M
NCI60.NCI-H460	LC.NCI_H460	Non-Small Cell Lung Cancer	NCI-H460
NCI60.NCI-H522	LC.NCI_H522	Non-Small Cell Lung Cancer	NCI-H522
NCI60.IGR-OV1	OV.IGROV1	Ovarian Cancer	IGROV1
NCI60.NCI-ADR-RES	OV.NCI_ADR_RES	Ovarian Cancer	NCI/ADR-RES
NCI60.OVCAR-3	OV.OVCAR_3	Ovarian Cancer	OVCAR-3
NCI60.OVCAR-4	OV.OVCAR_4	Ovarian Cancer	OVCAR-4
NCI60.OVCAR-5	OV.OVCAR_5	Ovarian Cancer	OVCAR-5
NCI60.OVCAR-8	OV.OVCAR_8	Ovarian Cancer	OVCAR-8
NCI60.SK-OV-3	OV.SK_OV_3	Ovarian Cancer	SK-OV-3
NCI60.DU-145	PR.DU_145	Prostate Cancer	DU-145
NCI60.PC-3	PR.PC_3	Prostate Cancer	PC-3
NCI60.786-0	RE.786_0	Renal Cancer	786-0
NCI60.A498	RE.A498	Renal Cancer	A498
NCI60.ACHN	RE.ACHN	Renal Cancer	ACHN
NCI60.CAKI-1	RE.CAKI_1	Renal Cancer	CAKI-1
NCI60.RXF-393	RE.RXF_393	Renal Cancer	RXF 393
NCI60.SN12C	RE.SN12C	Renal Cancer	SN12C
NCI60.TK-10	RE.TK_10	Renal Cancer	TK-10
NCI60.UO-31	RE.UO_31	Renal Cancer	UO-31
