NSC	CAS	Generic Name	Preffered Name	Projects	Primary Target
787269	459147-39-8		SW-033291	Investigational 	15-PDGH
105014	4291-63-8	cladribine	RJW-26251	Approved 	Adenosine deaminase
218321	53910-25-1	pentostatin	CI-825	Approved 	Adenosine deaminase
766888	95809-78-2		CPI-613	Investigational 	AEMD
639966	157716-52-4	perifosine	KRX-0401	Investigational 	Akt
756656	1032349-77-1		MK-2206	Investigational 	Akt
761387	885499-61-6		CCT-128930	Investigational 	Akt
764039	1143532-39-1		AZD-5363	Investigational 	Akt
766991	937174-76-0		GSK-690693	Investigational 	Akt
767898	1001264-89-6	ipatasertib	GDC-0068	Investigational 	Akt
768070	1004990-28-6		PF-4176340	Investigational 	Akt
768071	no cas		PF-4176340 (inactive enantiomer)	Investigational 	Akt
771650	1056901-62-2		AT-13148	Investigational 	Akt
778305	1047644-62-1	afuresertib	GSK-2110183	Investigational 	Akt
778368	1047634-65-0		GSK-2141795	Investigational 	Akt
791328	1313881-70-7		ARQ-092	Investigational 	Akt
792847	1430056-54-4		INCB-047775	Investigational 	Akt
793324	1402608-02-9		BAY-1125976	Investigational 	Akt
795142	1379545-95-5		M2698	Investigational	Akt
756645	877399-52-5	crizotinib	PF-02341066	Approved 	Alk
764040	1256580-46-7	alectinib	CH-5424802	Approved 	Alk
764041	761439-42-3		TAE-684	Investigational 	Alk
764821	1256589-74-8		CH-5428402 HCl	Investigational 	Alk
765865	1097917-15-1		ASP-3026	Investigational 	Alk
766824	1022957-12-5		Cephalon Alk inhibitor (Compound 45)	Investigational 	Alk
774769	1108743-60-7	entrectinib	NMS-E628	Investigational 	Alk
776422	1032900-25-6	ceritinib	LDK-378	Approved 	Alk
776787	1356962-20-3		AZD-3463	Investigational 	Alk
779218	1022958-60-6		CEP-28122	Investigational 	Alk
780108	1454846-35-5		PF-06463922	Investigational 	Alk
780163	1609203-73-7		SOMCL-12-81	Investigational 	Alk
781148	1391712-60-9		CEP-37440	Investigational 	Alk
787457	1197953-54-0	brigatinib	AP-26113	Approved 	Alk
